name,address,drug
개화약국,"서울특별시 강서구 양천로 31 1층 (방화동, 푸른빌딩)",비판텐
갤러리아온누리약국,서울특별시 강남구 선릉로 843 107호 (신사동),비판텐
갤러리약국,서울특별시 강남구 학동로20길 55 106호 (논현동),비판텐
건강과행복이열리는약국,"서울특별시 노원구 한글비석로 242 113호, 114호 (중계동, 삼부프라자)",비판텐
건강과행복이열리는약국,서울특별시 서초구 서초대로 307 (서초동),비판텐
건강과행복이열리는중앙메디칼약국,서울특별시 동작구 흑석로 106-5 1층 (흑석동),비판텐
건강드림약국,서울특별시 영등포구 영중로 70 (영등포동5가),비판텐
건강약국,서울특별시 송파구 백제고분로 162 (잠실동),비판텐
건강온누리약국,"서울특별시 강남구 삼성로 212 B동 1층 195호 (대치동, 은마아파트)",비판텐
건강온누리약국,서울특별시 구로구 고척로21나길 18 (개봉동),비판텐
건강온누리약국,서울특별시 동작구 상도로 202 (상도동),비판텐
건강온누리약국,서울특별시 영등포구 신풍로 113 (신길동),비판텐
건강제일온누리약국,서울특별시 중랑구 동일로 786 1층 (중화동),비판텐
건강플러스약국,"서울특별시 금천구 시흥대로 391 3층 (독산동, 홈플러스금천점)",비판텐
건강한세상대한약국,"서울특별시 영등포구 국제금융로 108 (여의도동,은하빌딩 1층)",비판텐
건강한세상행복한약국,"서울특별시 강남구 강남대로 488 1층 (논현동, 대남빌딩)",비판텐
건강한약국,서울특별시 성동구 왕십리로 320-1 1층,비판텐
건강한약국,서울특별시 성북구 동소문로42길 14 1층 (하월곡동),비판텐
건강한온누리약국,"서울특별시 강남구 압구정로34길 11 (신사동, 압구정스퀘어) 105호",비판텐
건강한온누리약국,서울특별시 강서구 가로공원로82길 41-8 1층 (화곡동),비판텐
건강한우리약국,서울특별시 양천구 지양로 22 (신월동),비판텐
건대가온약국,"서울특별시 광진구 광나루로 410 105호 (화양동, KCC파크타운)",비판텐
건대역약국,서울특별시 광진구 아차산로 218 (자양동),비판텐
건대온누리약국,"서울특별시 광진구 능동로 110 (화양동)스타시티몰 영존 지하2층 B203-1,B204",비판텐
건대지하철약국,"서울특별시 광진구 능동로 110 (화양동, 7호선 건대입구역)",비판텐
건명약국,서울특별시 중랑구 면목로 421 (면목동),비판텐
경남약국,서울특별시 양천구 목동서로 38 (목동),비판텐
경성약국,서울특별시 관악구 남부순환로161길 70 (신림동),비판텐
경애약국,서울특별시 동대문구 사가정로25길 18 (장안동),비판텐
경인약국,서울특별시 송파구 가락로42길 9 (방이동),비판텐
경인약국,서울특별시 용산구 새창로14길 50 (용문동),비판텐
경일약국,서울특별시 금천구 시흥대로72길 32 (시흥동),비판텐
경하프라자약국,서울특별시 은평구 서오릉로 157 (구산동),비판텐
경희고황약국,서울특별시 동대문구 경희대로 17 1층 (회기동),비판텐
경희궁햇살약국,"서울특별시 종로구 송월길 99 203동 2218호 (홍파동, 경희궁자이)",비판텐
경희메디칼온누리약국,서울특별시 강동구 동남로 889 (명일동) 1층 103호,비판텐
경희온누리약국,서울특별시 동대문구 경희대로1가길 32 (회기동),비판텐
계산온누리약국,서울특별시 성북구 동소문로20길 43 (동선동1가),비판텐
고려약국,서울특별시 노원구 동일로 1382 (상계동),비판텐
고명약국,"서울특별시 서초구 바우뫼로 23 101,102호 (우면동, 선일상가)",비판텐
고연뿌리약국,"서울특별시 서초구 신반포로 188 지하1층 (반포동, 강남고속터미널역)",비판텐
고운마음약국,"서울특별시 강서구 양천로 500 1층 112호 (등촌동, 노블리움오피스텔)",비판텐
고운약국,"서울특별시 송파구 송이로32길 37 201동 1층 상가04호 (문정동, 문정프르지오아파트)",비판텐
고은온누리약국,서울특별시 강동구 천호대로 1153 (길동),비판텐
고은온누리약국,서울특별시 동작구 여의대방로36길 1 (대방동),비판텐
공생약국,서울특별시 종로구 종로 228 1층 (종로5가),비판텐
공항시장샘온누리약국,"서울특별시 강서구 방화동로 37 (방화동, 메디스타워) 1층 102호",비판텐
관악소망약국,서울특별시 관악구 남부순환로 1838 2층 (봉천동),비판텐
관악수약국,"서울특별시 관악구 호암로 600 1층 (신림동, 하나빌딩)",비판텐
관악이화약국,서울특별시 관악구 봉천로 281 1층 (봉천동),비판텐
광교약국,서울특별시 종로구 청계천로 49 (관철동),비판텐
광장약국,서울특별시 종로구 창경궁로13길 1 1층 (예지동),비판텐
광제사약국,서울특별시 광진구 면목로 130 (중곡동),비판텐
광진약국,서울특별시 중구 다산로27길 6-14 (신당동),비판텐
광진온누리약국,"서울특별시 광진구 아차산로69길 8 103, 104호 (광장동)",비판텐
광진프라자약국,서울특별시 광진구 면목로 117 (중곡동),비판텐
광희약국,서울특별시 중구 퇴계로 322 (광희동2가),비판텐
교보약국,서울특별시 관악구 남부순환로 1827 1층 (봉천동),비판텐
구로시장약국,서울특별시 구로구 구로동로26길 37 (구로동),비판텐
구민약국,서울특별시 영등포구 당산로 142-1 (당산동3가),비판텐
구심당약국,"서울특별시 마포구 월드컵로25길 58 , 건물코너 (망원동)",비판텐
구온누리약국,"서울특별시 용산구 만리재로 134 1층 (서계동, 힐타워빌딩)",비판텐
구원약국,"서울특별시 마포구 큰우물로 49 1층 101호 (염리동, 엘지상가)",비판텐
구일중앙약국,"서울특별시 구로구 구일로 110 305호 (구로동, 해원리버파크)",비판텐
국기원약국,"서울특별시 강남구 테헤란로 119 2층 (역삼동, 대호빌딩)",비판텐
국제약국,"서울특별시 동대문구 답십리로 252 1층 (장안동, 세현빌딩)",비판텐
국제약국,"서울특별시 중랑구 봉화산로 194 1층 104호 (신내동, 신아타운)",비판텐
국풍당약국,"서울특별시 강남구 선릉로 654 1층 (삼성동, 예인빌딩)",비판텐
국화약국,"서울특별시 종로구 평창11길 3 1층 (평창동, 쇼핑센타뉴본)",비판텐
군자백화점약국,서울특별시 광진구 천호대로 574 (능동),비판텐
군자세계로약국,서울특별시 광진구 천호대로 548 (군자동),비판텐
군자한마음약국,"서울특별시 광진구 천호대로 557 , 1층 102호",비판텐
굿모닝약국,"서울특별시 마포구 월드컵북로 361 102호 (상암동, 디엠씨이안 상암2단지)",비판텐
굿모닝약국,"서울특별시 서초구 신반포로 176 125호 (반포동, 센트럴시티)",비판텐
굿모닝약국,"서울특별시 송파구 오금로 420 , 1층 (가락동, 한라산업개발빌딩)",비판텐
굿모닝약국,서울특별시 종로구 경교장길 35 3137호 (경희궁자이 3단지),비판텐
굿모닝이화약국,서울특별시 강서구 공항대로 383 1층 4호 (등촌동),비판텐
굿약국,"서울특별시 서초구 서초대로77길 24 103호 (서초동, 강남 지웰타워2)",비판텐
굿케어약국,서울특별시 강남구 선릉로 719 1층 일부호 (논현동),비판텐
그랜드약국,서울특별시 송파구 마천로 35 1층 (방이동),비판텐
그랜드약국,서울특별시 중랑구 사가정로 399 1층,비판텐
그린약국,서울특별시 양천구 남부순환로 654 (신정동),비판텐
금강약국,"서울특별시 강남구 압구정로 151 1-7호 (압구정동, 현대아파트9차상가)",비판텐
금강온누리약국,서울특별시 영등포구 영중로 8 (영등포동),비판텐
금보약국,"서울특별시 용산구 원효로 51 110호 (산천동, 삼성테마트상가)",비판텐
금비약국,서울특별시 강서구 양천로69길 11 1층 금비약국,비판텐
금빛약국,서울특별시 도봉구 덕릉로 238 1층 (창동),비판텐
금성약국,"서울특별시 광진구 자양로 112 111호,112호,113호 (구의동)",비판텐
금와약국,서울특별시 광진구 뚝섬로 585 (자양동),비판텐
금호프라자약국,서울특별시 성동구 독서당로 302 1층 (금호동4가),비판텐
금화온누리약국,"서울특별시 서초구 반포대로 287 125호 (반포동, 래미안퍼스티지중심상가)",비판텐
기린약국,서울특별시 서대문구 통일로 468 1층 (홍제동),비판텐
기린약국,"서울특별시 은평구 서오릉로 79, 1층 (역촌동)",비판텐
기림약국,서울특별시 영등포구 대림로34길 29 (대림동),비판텐
기분좋은약국,"서울특별시 관악구 은천로 110 1층 (봉천동, 더블유에스타워)",비판텐
기쁨약국,"서울특별시 마포구 월드컵로 82 1층 (서교동, 소단빌딩)",비판텐
길동수약국,서울특별시 강동구 천호대로 1123 (길동),비판텐
길음메디칼약국,서울특별시 성북구 길음로 2 1층 (길음동),비판텐
길음시장약국,"서울특별시 성북구 길음로9길 50 ,상가동 지1층 101호",비판텐
김&장나라약국,서울특별시 광진구 능동로 110 (화양동),비판텐
김약국,서울특별시 관악구 남부순환로 1601-1 1층 (신림동),비판텐
김약국,서울특별시 양천구 지양로 75 (신월동),비판텐
김포약국,서울특별시 강서구 방화동로 70 (방화동),비판텐
김해약국,서울특별시 종로구 종로 206 (종로5가),비판텐
까치프라자약국,"서울특별시 강서구 강서로 52 104,105호 (화곡동, 화곡판타지아빌딩)",비판텐
나나약국,서울특별시 동대문구 장한로18길 59 (장안동),비판텐
나눔약국,서울특별시 영등포구 여의대방로53길 23 (신길동),비판텐
나래약국,"서울특별시 영등포구 도림로 192 (대림동, 동성빌딩)",비판텐
나무약국,서울특별시 강서구 강서로45길 174 수명산씨티 3층 (내발산동),비판텐
나무약국,"서울특별시 마포구 백범로 202 101호 (신공덕동, 마포KCC웰츠타워)",비판텐
나무약국,"서울특별시 성동구 금호로 94 201호(금호동 1가, 금호오피스텔 제2층)",비판텐
나진약국,"서울특별시 도봉구 방학로 223 101호 (방학동, 사천목씨종친회관)",비판텐
낙성대약국,"서울특별시 관악구 남부순환로 1938 1층 (봉천동, 성은빌딩)",비판텐
난곡비타민약국,서울특별시 관악구 난곡로 231 (신림동) 102호,비판텐
남대문약국,서울특별시 은평구 통일로87길 19 1층 (갈현동),비판텐
남매약국,서울특별시 송파구 오금로64길 4 (거여동),비판텐
남문프라자약국,서울특별시 금천구 시흥대로 436 (독산동),비판텐
남부시장약국,서울특별시 강서구 등촌로5길 80 (화곡동),비판텐
남산우리약국,"서울특별시 중구 소공로 35 102호(회현동1가,남산롯데캐슬아이리스1층상가)",비판텐
남시약국,서울특별시 중구 남대문로 18 (남대문로3가),비판텐
노들약국,서울특별시 동작구 노량진로 166 1층,비판텐
노바약국,서울특별시 강남구 강남대로118길 51 1층 (논현동),비판텐
노벨온누리약국,"서울특별시 은평구 연서로 1 105호 (역촌동, 리더스파크)",비판텐
노원약국,"서울특별시 노원구 노해로 501 1층 103호 (상계동, 노원빌딩)",비판텐
녹번건강약국,서울특별시 은평구 통일로 630-1 상가 B101-1호,비판텐
녹색건강약국,서울특별시 중랑구 면목로55길 25 (면목동),비판텐
녹수프라자약국,서울특별시 금천구 독산로 213 (독산동),비판텐
녹십자약국,"서울특별시 강북구 도봉로 255 1층 (수유동, 나라빌딩)",비판텐
녹십자약국,서울특별시 금천구 시흥대로 96 (시흥동),비판텐
녹십자약국,서울특별시 도봉구 우이천로4길 32 1층 (창동),비판텐
녹십자약국,서울특별시 서초구 방배로25길 4 1층 (방배동),비판텐
녹십자약국,서울특별시 송파구 올림픽로 130 (잠실동),비판텐
녹십자약국,서울특별시 영등포구 대림로 157 (대림동),비판텐
녹원약국,서울특별시 송파구 백제고분로50길 26 1층 (방이동),비판텐
논현약국,서울특별시 강남구 선릉로129길 22 1층 (논현동),비판텐
논현필리아약국,서울특별시 강남구 선릉로 641 1층 일부호 (논현동),비판텐
누가약국,서울특별시 영등포구 디지털로 367 1층 (대림동),비판텐
누리약국,"서울특별시 광진구 자양로15길 18 1층 (자양동, 혜성빌딩)",비판텐
뉴그랜드약국,서울특별시 영등포구 대림로 212 (대림동),비판텐
뉴석계프라자약국,서울특별시 노원구 석계로 2 (월계동),비판텐
뉴시티약국,서울특별시 송파구 석촌호수로 160 102호 (삼전동),비판텐
뉴타운메디컬약국,"서울특별시 은평구 진관3로 70 821동 상가 115호 (진관동, 은평뉴타운상림마을)",비판텐
뉴타운약국,"서울특별시 강북구 삼양로27길 43 2층 201,202호 (미아동, 위브 테라스 파크)",비판텐
뉴프라임약국,서울특별시 송파구 송파대로 278 1층 (가락동),비판텐
뉴프라자약국,"서울특별시 동대문구 고산자로 399 104호,105호 (용두동, 동양프라자)",비판텐
늘봄약국,"서울특별시 강남구 논현로159길 17 ,101호",비판텐
늘온누리약국,"서울특별시 강동구 상일로12길 89 (강일동, 리엔타운) 101호",비판텐
늘조은온누리약국,"서울특별시 동대문구 사가정로25길 66, 1층 (장안동)",비판텐
늘조은온누리약국,서울특별시 송파구 동남로18길 45 1층 (가락동),비판텐
늘푸른건강약국,서울특별시 금천구 범안로 1183 (독산동),비판텐
늘푸른솔약국,서울특별시 중랑구 겸재로 178 (면목동),비판텐
늘푸른약국,"서울특별시 강동구 풍성로 214 102호 (성내동, 동양빌딩)",비판텐
늘푸른약국,서울특별시 구로구 구로중앙로12길 38 (구로동),비판텐
늘푸른약국,서울특별시 동대문구 전농로 148 1층 (전농동),비판텐
늘푸른약국,"서울특별시 성북구 돌곶이로 25 (석관동, 씨티홈)",비판텐
늘푸른온누리약국,"서울특별시 중랑구 면목로27길 80 80동 (면목동, 1층)",비판텐
늘푸른이화약국,서울특별시 영등포구 영신로32길 20 (영등포동4가),비판텐
늘푸른평강약국,서울특별시 강북구 한천로 1043 (수유동),비판텐
늘픔약국,서울특별시 관악구 남부순환로 1635 1층 (신림동),비판텐
늘픔약국,서울특별시 서초구 헌릉로8길 9-8 1층 108호 (내곡동),비판텐
다나스약국,서울특별시 영등포구 여의대방로 81-4 다나스약국,비판텐
다나아약국,서울특별시 강서구 방화대로7나길 29 (공항동),비판텐
다나약국,서울특별시 송파구 오금로31길 3 (방이동),비판텐
다나약국,서울특별시 영등포구 가마산로 439-1 (신길동),비판텐
다나약국,서울특별시 중구 동호로 171 (신당동),비판텐
다나을약국,서울특별시 성동구 장터1길 2 (금호동3가),비판텐
다드림약국,서울특별시 구로구 가마산로 211 101호 (구로동),비판텐
다모아약국,"서울특별시 노원구 동일로 1379 105,106호 (상계동)",비판텐
다보약국,서울특별시 서초구 서초대로40길 77 101호,비판텐
다사랑약국,서울특별시 송파구 올림픽로43길 26 (풍납동),비판텐
다산온누리약국,서울특별시 중구 다산로 133-1 (신당동),비판텐
다은온누리약국,"서울특별시 관악구 신림로 169 1층 (신림동, 영창빌딩)",비판텐
다정약국,"서울특별시 성북구 서경로 27 1층 (정릉동, 예닮빌딩)",비판텐
다정온누리약국,"서울특별시 노원구 공릉로34길 38 107호 (공릉동, 태강아파트상가)",비판텐
단골약국,"서울특별시 강북구 삼양로27길 35-21 ,1층,105호(미아동,미아프라자) 단골약국",비판텐
단비온누리약국,서울특별시 송파구 올림픽로 145 1층 A27호 (잠실동),비판텐
달구약국,"서울특별시 강남구 양재대로55길 6 113호 (일원동, 수서1단지상가)",비판텐
달약국,"서울특별시 강서구 마곡중앙6로 66 (마곡동, 퀸즈파크텐) 1층 112호 달약국",비판텐
답십리백화점약국,"서울특별시 동대문구 전농로 102 1층 (답십리동, 목련빌딩)",비판텐
당고개약국,서울특별시 노원구 상계로 309-1 (상계동),비판텐
당산스타약국,서울특별시 영등포구 양평로 22 1층 당산수타약국,비판텐
대건약국,"서울특별시 영등포구 양평로 99 (양평동4가,1층)",비판텐
대명약국,"서울특별시 관악구 신림로 158 1층 1호 (신림동, 영광빌딩)",비판텐
대명약국,서울특별시 영등포구 영신로19길 7 (영등포동),비판텐
대명약국,서울특별시 종로구 종로 256-1 대명빌딩,비판텐
대박약국,"서울특별시 종로구 종로 19 3층 327호 (종로1가, 르메이에르종로타운)",비판텐
대성모약국,"서울특별시 영등포구 시흥대로 655 , 1층일부",비판텐
대영약국,"서울특별시 서초구 잠원로14길 29 125호 (잠원동, 설악복지센타)",비판텐
대우당약국,서울특별시 동작구 상도로 102 (상도동),비판텐
대우사약국,서울특별시 중구 남대문로5길 17-5,비판텐
대우실로암약국,서울특별시 양천구 월정로50길 10 (신월동),비판텐
대우약국,서울특별시 구로구 천왕로 106 골드프라자 104호 (오류동),비판텐
대유약국,서울특별시 서대문구 모래내로 359,비판텐
대자연약국,서울특별시 강동구 구천면로 291 (천호동),비판텐
대중약국,서울특별시 성동구 왕십리로 379 (하왕십리동),비판텐
대지약국,서울특별시 강북구 삼양로 247 3층 (미아동),비판텐
대창약국,서울특별시 강북구 월계로 53 (미아동),비판텐
대청약국,"서울특별시 강남구 개포로 623 1층, 106호 (개포동, 대청타워)",비판텐
대치참약국,서울특별시 강남구 남부순환로 2927 대치 클래시아 205호 (대치동),비판텐
대치필리아약국,"서울특별시 강남구 도곡로63길 12, 신농플라자 1층 104호 (대치동)",비판텐
대풍약국,"서울특별시 성동구 사근동길 6 (행당동, 한양제일빌딩)",비판텐
대학약국,"서울특별시 강동구 동남로 889 ,1층 102호(명일동)",비판텐
대학약국,서울특별시 구로구 구로동로 149-1 (구로동),비판텐
대학약국,서울특별시 서대문구 연세로11길 4 (창천동),비판텐
대학약국,서울특별시 성동구 사근동길 4 1층 (행당동),비판텐
대학약국,"서울특별시 송파구 강동대로 57 1, 2층 (풍납동)",비판텐
대학약국,서울특별시 용산구 대사관로 58 (한남동) 1층,비판텐
대학약국,"서울특별시 종로구 창경궁로 160 1,2층 (원남동)",비판텐
대한약국,"서울특별시 종로구 대학로5길 57, 1층 (연건동) 대학약국",비판텐
대한약국,서울특별시 중랑구 신내로16길 17 105호 (신내동),비판텐
대현온누리약국,서울특별시 강서구 양천로 556 강서메디칼센터 105호,비판텐
대호약국,서울특별시 노원구 한글비석로 384 317호,비판텐
대흥365약국,서울특별시 마포구 백범로 98 1층(대흥동),비판텐
더블유수약국,서울특별시 강남구 압구정로 316 1층 (신사동),비판텐
더블유스토어아름다운약국,서울특별시 영등포구 영중로 6 (영등포동3가),비판텐
더블유스토어푸른약국,"서울특별시 구로구 도림로 73 , 103호 (구로동, 인성빌딩)",비판텐
더사랑약국,서울특별시 성북구 아리랑로 16 1층 104호 (동선동4가),비판텐
더샵스타시티약국,"서울특별시 광진구 아차산로 272 (자양동, 스타시티쇼핑몰)",비판텐
더튼튼약국,서울특별시 도봉구 노해로65길 10 101호 더튼튼약국,비판텐
더함약국,"서울특별시 송파구 올림픽로 145 , 4층 4B01호 (잠실동, 리센트)",비판텐
더행복약국,"서울특별시 은평구 은평로 200-1 가동 1층 (응암동, 삼영빌딩)",비판텐
덕성온누리약국,"서울특별시 성북구 아리랑로 89 102호 (돈암동, 일신건영휴먼빌 상가 )",비판텐
도곡메디칼약국,"서울특별시 강남구 도곡로 242 (도곡동, 도곡삼호상가 지하1층 103호 1층 201호)",비판텐
도곡우리약국,"서울특별시 강남구 선릉로 225 214호 (도곡동, 도곡렉슬아파트)",비판텐
도담약국,"서울특별시 성동구 왕십리로 410 상가L동 222호 (하왕십리동, 센트라스)",비판텐
도담약국,서울특별시 성북구 동소문로 305 지층 (길음동),비판텐
도림우리들약국,서울특별시 영등포구 도신로15길 40 (도림동),비판텐
도심공항약국,서울특별시 강남구 테헤란로87길 22 2층 D-1호 (삼성동),비판텐
도영약국,서울특별시 송파구 오금로 507 거역빌딩1층 103호,비판텐
독수리약국,"서울특별시 서대문구 연세로 36 1층 (창천동,독수리빌딩)",비판텐
독수리약국,"서울특별시 송파구 중대로 135 (가락동, IT벤처타워 동관 101호)",비판텐
독일약국,"서울특별시 구로구 오리로 1297 (궁동, 청파빌딩)",비판텐
독일약국,서울특별시 마포구 도화4길 19 1층 (도화동),비판텐
독일약국,서울특별시 종로구 종로 314 (창신동),비판텐
동경약국,서울특별시 마포구 신촌로16길 4 1층 101호 (노고산동),비판텐
동국약국,서울특별시 중구 서애로1길 16 (필동3가),비판텐
동명온누리약국,"서울특별시 강남구 선릉로64길 5 (대치동, 라이온스빌딩)",비판텐
동문약국,서울특별시 노원구 공릉로59나길 78-10 (하계동),비판텐
동보당약국,서울특별시 관악구 관악로 236 (봉천동),비판텐
동부약국,서울특별시 용산구 이촌로 245 (이촌동),비판텐
동산약국,"서울특별시 노원구 동일로 1280 1층 109호,110호 (중계동, 무지개아파트단지내상가)",비판텐
동서약국,서울특별시 종로구 종로 222 (종로5가),비판텐
동서온누리약국,서울특별시 강동구 풍성로37가길 39 101호 (성내동),비판텐
동서옵티마약국,서울특별시 성북구 동소문로 304 (하월곡동),비판텐
동성약국,"서울특별시 강남구 삼성로 212 180호 (대치동, 은마상가에이블럭)",비판텐
동시약국,"서울특별시 종로구 종로 202-1 (종로4가, 동흥빌딩)",비판텐
동아약국,서울특별시 금천구 시흥대로 371 (독산동),비판텐
동아약국,서울특별시 용산구 회나무로 16 (이태원동),비판텐
동아약국,서울특별시 종로구 종로 192 (종로4가),비판텐
동양약국,서울특별시 강남구 자곡로 180 109-2호,비판텐
동오약국,서울특별시 용산구 보광로 18 (보광동),비판텐
동의당약국,서울특별시 동작구 여의대방로10길 38 (신대방동),비판텐
동의삼성약국,서울특별시 송파구 거마로22길 49 (마천동),비판텐
동인프라자약국,서울특별시 양천구 남부순환로40길 13 (신월동),비판텐
동인프라자온누리약국,"서울특별시 강남구 밤고개로1길 10 117-2호 (수서동, 수서현대벤쳐빌)",비판텐
동일프라자약국,"서울특별시 양천구 신정로7길 60-5 107호 (신정동, 동일프라자빌딩)",비판텐
동해물약국,서울특별시 구로구 구로동로 138 (구로동),비판텐
동현약국,서울특별시 강동구 양재대로127길 19 (천호동),비판텐
동현약국,서울특별시 서대문구 영천시장길 16 (영천동),비판텐
두리약국,서울특별시 강남구 일원로 35 1층 (일원동),비판텐
두리약국,서울특별시 노원구 상계로35길 2 (상계동),비판텐
두리약국,서울특별시 송파구 송이로31길 36 1층 (문정동),비판텐
드림약국,"서울특별시 노원구 동일로 1677 1층 (상계동, 제성빌딩)",비판텐
드림약국,서울특별시 동대문구 천호대로 8 1층 (신설동),비판텐
드림약국,"서울특별시 영등포구 영중로 15 122호 (영등포동4가,타임스퀘어지하1층)",비판텐
드림온누리약국,"서울특별시 도봉구 마들로 551 상가동 1층 120호 (창동, 쌍용아파트)",비판텐
디큐브약국,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티 타워동 지하1층)",비판텐
뚝도약국,"서울특별시 광진구 뚝섬로 595, 1층 (자양동)",비판텐
뚝섬스타약국,서울특별시 성동구 아차산로 42 지하1층 (성수동1가),비판텐
라온365온누리약국,"서울특별시 강서구 화곡로 166, 1층 (화곡동) 라온365온누리약국",비판텐
